utc_timestamp,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
2011-01-01T00:00:00Z,2.37,-5.611,0,0
2011-01-01T01:00:00Z,2.32,-5.657,0,0
2011-01-01T02:00:00Z,2.32,-5.674,0,0
2011-01-01T03:00:00Z,2.34,-5.879,0,0
2011-01-01T04:00:00Z,2.41,-6.202,0,0
2011-01-01T05:00:00Z,2.47,-6.422,0,0
2011-01-01T06:00:00Z,2.52,-6.569,0.0684245557151,0.561075444285
2011-01-01T07:00:00Z,2.59,-5.927,15.6893138778,35.8953861222
2011-01-01T08:00:00Z,2.82,-3.952,74.1192219462,75.2889780538
2011-01-01T09:00:00Z,3.14,-2.203,147.033660487,88.9567395131
2011-01-01T10:00:00Z,3.61,-0.671,190.998589822,92.911810178
2011-01-01T11:00:00Z,3.87,0.254,195.622906765,91.7289932346
2011-01-01T12:00:00Z,3.89,0.643,156.371435927,87.1076640735
2011-01-01T13:00:00Z,3.56,0.361,84.934738211,74.657161789
2011-01-01T14:00:00Z,3.19,-0.944,18.7629237516,38.6304762484
2011-01-01T15:00:00Z,3.17,-2.543,0.216445521716,1.24545447828
2011-01-01T16:00:00Z,3.24,-3.291,0,0
2011-01-01T17:00:00Z,3.36,-3.686,0,0
2011-01-01T18:00:00Z,3.49,-3.939,0,0
2011-01-01T19:00:00Z,3.47,-4.14,0,0
2011-01-01T20:00:00Z,3.54,-4.269,0,0
2011-01-01T21:00:00Z,3.55,-4.386,0,0
2011-01-01T22:00:00Z,3.44,-4.519,0,0
2011-01-01T23:00:00Z,3.41,-4.637,0,0
2011-01-02T00:00:00Z,3.31,-4.773,0,0
2011-01-02T01:00:00Z,3.19,-4.9,0,0
2011-01-02T02:00:00Z,2.99,-5.079,0,0
2011-01-02T03:00:00Z,2.83,-5.259,0,0
2011-01-02T04:00:00Z,2.71,-5.476,0,0
2011-01-02T05:00:00Z,2.64,-5.741,0,0
2011-01-02T06:00:00Z,2.62,-5.947,0.0299502969115,0.510649703089
2011-01-02T07:00:00Z,2.58,-5.434,4.1397652343,32.9424347657
2011-01-02T08:00:00Z,2.67,-4.022,20.3780764586,88.1522235414
2011-01-02T09:00:00Z,2.86,-2.597,41.8648961592,126.815903841
2011-01-02T10:00:00Z,3.18,-1.529,81.1906384532,144.517661547
2011-01-02T11:00:00Z,3.51,-0.925,99.678646426,140.400653574
2011-01-02T12:00:00Z,3.56,-0.845,73.571217151,126.093782849
2011-01-02T13:00:00Z,3.05,-1.249,39.9289229526,93.7861770474
2011-01-02T14:00:00Z,2.51,-2.601,8.04118013403,39.864219866
2011-01-02T15:00:00Z,2.6,-4.334,0.0802284380736,1.08447156193
2011-01-02T16:00:00Z,2.72,-5.145,0,0
2011-01-02T17:00:00Z,2.81,-5.613,0,0
2011-01-02T18:00:00Z,2.88,-5.946,0,0
2011-01-02T19:00:00Z,3,-6.172,0,0
2011-01-02T20:00:00Z,3.03,-6.363,0,0
2011-01-02T21:00:00Z,3,-6.541,0,0
2011-01-02T22:00:00Z,2.94,-6.75,0,0
2011-01-02T23:00:00Z,2.96,-6.789,0,0
2011-01-03T00:00:00Z,2.92,-6.813,0,0
2011-01-03T01:00:00Z,2.8,-6.973,0,0
2011-01-03T02:00:00Z,2.75,-7.112,0,0
2011-01-03T03:00:00Z,2.76,-7.216,0,0
2011-01-03T04:00:00Z,2.77,-7.257,0,0
2011-01-03T05:00:00Z,2.73,-7.301,0,0
2011-01-03T06:00:00Z,2.68,-7.422,0.032386028061,0.537613971939
2011-01-03T07:00:00Z,2.69,-6.998,5.73841023254,35.1021897675
2011-01-03T08:00:00Z,2.87,-5.559,29.8551166102,89.8478833898
2011-01-03T09:00:00Z,2.99,-4.147,63.8075861394,124.454613861
2011-01-03T10:00:00Z,3.15,-2.985,111.832454247,134.201945753
2011-01-03T11:00:00Z,3.28,-2.329,113.99571009,133.67068991
2011-01-03T12:00:00Z,3.11,-2.169,81.4996443787,122.545555621
2011-01-03T13:00:00Z,2.47,-2.455,47.7955410127,92.0177589873
2011-01-03T14:00:00Z,1.91,-3.673,10.6310973441,40.5746026559
2011-01-03T15:00:00Z,2.05,-5.162,0.240970450704,1.4966295493
2011-01-03T16:00:00Z,2.15,-5.834,0,0
2011-01-03T17:00:00Z,2.17,-6.32,0,0
2011-01-03T18:00:00Z,2.23,-6.735,0,0
2011-01-03T19:00:00Z,2.27,-7.138,0,0
2011-01-03T20:00:00Z,2.27,-7.571,0,0
2011-01-03T21:00:00Z,2.18,-7.879,0,0
2011-01-03T22:00:00Z,2.08,-8.166,0,0
2011-01-03T23:00:00Z,2.01,-8.451,0,0
2011-01-04T00:00:00Z,1.91,-8.605,0,0
2011-01-04T01:00:00Z,1.78,-8.62,0,0
2011-01-04T02:00:00Z,1.62,-8.606,0,0
2011-01-04T03:00:00Z,1.42,-8.619,0,0
2011-01-04T04:00:00Z,1.25,-8.785,0,0
2011-01-04T05:00:00Z,1.22,-9.022,0,0
2011-01-04T06:00:00Z,1.39,-9.376,0.0858475691411,0.746652430859
2011-01-04T07:00:00Z,1.5,-9.147,14.0027561273,38.5777438727
2011-01-04T08:00:00Z,1.6,-7.417,52.5594733105,86.1310266895
2011-01-04T09:00:00Z,1.95,-5.558,97.9833045203,113.63039548
2011-01-04T10:00:00Z,2.42,-4.081,138.044110816,121.646189184
2011-01-04T11:00:00Z,2.66,-3.272,144.854465906,119.774234094
2011-01-04T12:00:00Z,2.78,-3.047,110.293485678,111.863914322
2011-01-04T13:00:00Z,2.68,-3.423,54.4211141564,89.3981858436
2011-01-04T14:00:00Z,2.45,-4.775,11.1311867395,40.7336132605
2011-01-04T15:00:00Z,2.75,-6.453,0.201534738651,1.48186526135
2011-01-04T16:00:00Z,3.04,-7.351,0,0
2011-01-04T17:00:00Z,3.17,-7.979,0,0
2011-01-04T18:00:00Z,3.28,-8.421,0,0
2011-01-04T19:00:00Z,3.34,-8.808,0,0
2011-01-04T20:00:00Z,3.41,-9.129,0,0
2011-01-04T21:00:00Z,3.42,-9.365,0,0
2011-01-04T22:00:00Z,3.51,-9.515,0,0
2011-01-04T23:00:00Z,3.64,-9.572,0,0
2011-01-05T00:00:00Z,3.62,-9.651,0,0
2011-01-05T01:00:00Z,3.53,-9.805,0,0
2011-01-05T02:00:00Z,3.41,-10.016,0,0
2011-01-05T03:00:00Z,3.35,-10.257,0,0
2011-01-05T04:00:00Z,3.29,-10.495,0,0
2011-01-05T05:00:00Z,3.22,-10.699,0,0
2011-01-05T06:00:00Z,3.19,-10.886,0.0669911507566,0.697508849243
2011-01-05T07:00:00Z,3.3,-10.44,15.7332642897,37.4995357103
2011-01-05T08:00:00Z,3.47,-8.738,89.5889801872,70.8879198128
2011-01-05T09:00:00Z,3.43,-6.715,177.896972393,76.1071276074
2011-01-05T10:00:00Z,3.38,-4.996,245.484511213,69.9332887867
2011-01-05T11:00:00Z,3.39,-3.894,259.5968049,64.7114950996
2011-01-05T12:00:00Z,3.4,-3.419,213.520341849,62.7094581514
2011-01-05T13:00:00Z,3.28,-3.586,128.214942069,57.4542579312
2011-01-05T14:00:00Z,3.1,-5.063,32.3558983576,36.8446016424
2011-01-05T15:00:00Z,3.35,-7.422,0.526651685603,1.7139483144
2011-01-05T16:00:00Z,3.59,-8.637,0,0
2011-01-05T17:00:00Z,3.63,-9.245,0,0
2011-01-05T18:00:00Z,3.68,-9.481,0,0
2011-01-05T19:00:00Z,3.73,-9.549,0,0
2011-01-05T20:00:00Z,3.77,-9.606,0,0
2011-01-05T21:00:00Z,3.79,-9.714,0,0
2011-01-05T22:00:00Z,3.85,-9.875,0,0
2011-01-05T23:00:00Z,3.84,-10.036,0,0
2011-01-06T00:00:00Z,3.89,-10.128,0,0
2011-01-06T01:00:00Z,3.96,-10.124,0,0
2011-01-06T02:00:00Z,4.02,-9.936,0,0
2011-01-06T03:00:00Z,4.03,-9.625,0,0
2011-01-06T04:00:00Z,4.11,-9.311,0,0
2011-01-06T05:00:00Z,4.18,-8.997,0,0
2011-01-06T06:00:00Z,4.3,-8.679,0.040921121542,0.752378878458
2011-01-06T07:00:00Z,4.45,-7.927,3.39831795997,33.83538204
2011-01-06T08:00:00Z,4.65,-6.495,14.3560999693,87.7210000307
2011-01-06T09:00:00Z,4.89,-4.814,29.4618865754,128.988513425
2011-01-06T10:00:00Z,4.8,-3.107,53.0232950526,153.522304947
2011-01-06T11:00:00Z,4.45,-1.675,67.6657579396,154.36304206
2011-01-06T12:00:00Z,3.98,-0.801,47.4740041254,135.918295875
2011-01-06T13:00:00Z,3.51,-0.708,18.8467323124,93.9507676876
2011-01-06T14:00:00Z,3.35,-1.295,4.09697132017,37.6348286798
2011-01-06T15:00:00Z,3.37,-2.153,0.0983237802969,1.4669762197
2011-01-06T16:00:00Z,3.52,-2.556,0,0
2011-01-06T17:00:00Z,3.68,-2.885,0,0
2011-01-06T18:00:00Z,3.83,-3.062,0,0
2011-01-06T19:00:00Z,3.87,-3.13,0,0
2011-01-06T20:00:00Z,3.81,-2.886,0,0
2011-01-06T21:00:00Z,3.69,-2.523,0,0
2011-01-06T22:00:00Z,3.53,-2.169,0,0
2011-01-06T23:00:00Z,3.13,-1.936,0,0
2011-01-07T00:00:00Z,2.89,-1.825,0,0
2011-01-07T01:00:00Z,2.75,-1.711,0,0
2011-01-07T02:00:00Z,2.59,-1.692,0,0
2011-01-07T03:00:00Z,2.47,-1.462,0,0
2011-01-07T04:00:00Z,2.57,-1.149,0,0
2011-01-07T05:00:00Z,2.67,-0.922,0,0
2011-01-07T06:00:00Z,2.64,-0.591,0.037677171756,0.742122828244
2011-01-07T07:00:00Z,2.51,0.249,3.34612419796,32.813675802
2011-01-07T08:00:00Z,2.42,1.759,20.7235245434,89.9733754566
2011-01-07T09:00:00Z,2.41,3.052,60.868018823,129.009681177
2011-01-07T10:00:00Z,2.48,3.824,114.169487705,136.635212295
2011-01-07T11:00:00Z,2.6,4.156,144.378507839,125.708192161
2011-01-07T12:00:00Z,2.77,4.014,125.572665483,111.201334517
2011-01-07T13:00:00Z,2.76,3.252,64.5839477927,90.9036522073
2011-01-07T14:00:00Z,2.78,1.711,12.9666758989,44.2120241011
2011-01-07T15:00:00Z,3.02,0.623,0.193192672199,1.7506073278
2011-01-07T16:00:00Z,3.33,0.571,0,0
2011-01-07T17:00:00Z,3.39,0.43,0,0
2011-01-07T18:00:00Z,3.39,0.353,0,0
2011-01-07T19:00:00Z,3.3,0.326,0,0
2011-01-07T20:00:00Z,3.06,0.284,0,0
2011-01-07T21:00:00Z,2.81,0.235,0,0
2011-01-07T22:00:00Z,2.56,0.249,0,0
2011-01-07T23:00:00Z,2.43,0.288,0,0
2011-01-08T00:00:00Z,2.37,0.325,0,0
2011-01-08T01:00:00Z,2.3,0.391,0,0
2011-01-08T02:00:00Z,2.23,0.475,0,0
2011-01-08T03:00:00Z,1.97,0.637,0,0
2011-01-08T04:00:00Z,1.84,0.663,0,0
2011-01-08T05:00:00Z,2.04,0.59,0,0
2011-01-08T06:00:00Z,2.09,0.672,0.0177586152738,0.711441384726
2011-01-08T07:00:00Z,2.12,1.066,0.503555703308,20.0695442967
2011-01-08T08:00:00Z,2.06,1.557,1.33937233095,48.5059276691
2011-01-08T09:00:00Z,2,1.914,2.3923383769,74.7834616231
2011-01-08T10:00:00Z,2.23,2.209,3.50299189509,94.0882081049
2011-01-08T11:00:00Z,2.31,2.448,4.36985668975,101.96554331
2011-01-08T12:00:00Z,2.14,2.536,4.52140284874,94.4532971513
2011-01-08T13:00:00Z,1.92,2.307,3.92413537846,72.8920646215
2011-01-08T14:00:00Z,1.99,1.71,1.82415300988,33.8139469901
2011-01-08T15:00:00Z,2.16,1.037,0.114683767767,1.91441623223
2011-01-08T16:00:00Z,2.38,0.537,0,0
2011-01-08T17:00:00Z,2.61,0.057,0,0
2011-01-08T18:00:00Z,2.75,-0.235,0,0
2011-01-08T19:00:00Z,2.79,-0.201,0,0
2011-01-08T20:00:00Z,2.83,-0.027,0,0
2011-01-08T21:00:00Z,2.79,0.097,0,0
2011-01-08T22:00:00Z,2.72,0.162,0,0
2011-01-08T23:00:00Z,2.83,0.07,0,0
2011-01-09T00:00:00Z,2.92,-0.087,0,0
2011-01-09T01:00:00Z,3,-0.206,0,0
2011-01-09T02:00:00Z,3.02,-0.327,0,0
2011-01-09T03:00:00Z,3.03,-0.401,0,0
2011-01-09T04:00:00Z,3.03,-0.557,0,0
2011-01-09T05:00:00Z,3,-0.697,0,0
2011-01-09T06:00:00Z,2.94,-0.779,0.106829765001,1.160070235
2011-01-09T07:00:00Z,2.83,-0.126,11.7574447151,41.9941552849
2011-01-09T08:00:00Z,2.7,1.339,59.3594142751,90.2544857249
2011-01-09T09:00:00Z,2.54,2.553,113.847270995,114.309729005
2011-01-09T10:00:00Z,2.27,3.579,144.472428317,125.705171683
2011-01-09T11:00:00Z,2.04,4.314,136.020377769,129.946822231
2011-01-09T12:00:00Z,1.99,4.453,97.7783038494,122.725096151
2011-01-09T13:00:00Z,1.9,3.818,47.3624712392,96.5672287608
2011-01-09T14:00:00Z,1.78,2.481,8.67569854312,43.8707014569
2011-01-09T15:00:00Z,1.68,1.504,0.086301798944,1.49859820106
2011-01-09T16:00:00Z,1.58,1.258,0,0
2011-01-09T17:00:00Z,1.58,1.109,0,0
2011-01-09T18:00:00Z,1.61,1.047,0,0
2011-01-09T19:00:00Z,1.63,1.058,0,0
2011-01-09T20:00:00Z,1.68,0.996,0,0
2011-01-09T21:00:00Z,1.77,0.789,0,0
2011-01-09T22:00:00Z,1.88,0.611,0,0
2011-01-09T23:00:00Z,1.99,0.523,0,0
2011-01-10T00:00:00Z,2,0.435,0,0
2011-01-10T01:00:00Z,1.93,0.329,0,0
2011-01-10T02:00:00Z,1.83,0.187,0,0
2011-01-10T03:00:00Z,1.81,0.028,0,0
2011-01-10T04:00:00Z,1.87,-0.057,0,0
2011-01-10T05:00:00Z,1.86,-0.079,0,0
2011-01-10T06:00:00Z,1.81,-0.044,0.0296807306729,0.974319269327
2011-01-10T07:00:00Z,1.81,0.43,1.14390773073,28.1409922693
2011-01-10T08:00:00Z,1.79,1.238,4.39015385859,74.1652461414
2011-01-10T09:00:00Z,1.68,1.922,7.82585863222,110.540941368
2011-01-10T10:00:00Z,1.58,2.362,8.05984497214,123.146855028
2011-01-10T11:00:00Z,1.45,2.462,5.92457427869,112.950025721
2011-01-10T12:00:00Z,1.33,2.265,3.79307618703,90.324023813
2011-01-10T13:00:00Z,1.31,1.743,1.73179283435,55.9923071656
2011-01-10T14:00:00Z,1.37,1.1,0.464097824705,21.0386021753
2011-01-10T15:00:00Z,1.47,0.49,0.0196880884427,1.07681191156
2011-01-10T16:00:00Z,1.49,0.279,0,0
2011-01-10T17:00:00Z,1.47,0.15,0,0
2011-01-10T18:00:00Z,1.44,0.014,0,0
2011-01-10T19:00:00Z,1.42,-0.149,0,0
2011-01-10T20:00:00Z,1.47,-0.28,0,0
2011-01-10T21:00:00Z,1.58,-0.349,0,0
2011-01-10T22:00:00Z,1.73,-0.49,0,0
2011-01-10T23:00:00Z,1.88,-0.588,0,0
2011-01-11T00:00:00Z,2,-0.521,0,0
2011-01-11T01:00:00Z,2.21,-0.402,0,0
2011-01-11T02:00:00Z,2.36,-0.294,0,0
2011-01-11T03:00:00Z,2.39,-0.271,0,0
2011-01-11T04:00:00Z,2.38,-0.268,0,0
2011-01-11T05:00:00Z,2.34,-0.273,0,0
2011-01-11T06:00:00Z,2.26,-0.328,0.0115199333777,0.580380066622
2011-01-11T07:00:00Z,2.29,-0.056,1.39982317345,28.9952768266
2011-01-11T08:00:00Z,2.32,0.87,8.82941878546,84.9879812145
2011-01-11T09:00:00Z,2.37,1.858,22.8145687293,132.281731271
2011-01-11T10:00:00Z,2.45,2.704,38.2743955323,158.949804468
2011-01-11T11:00:00Z,2.5,3.301,44.7227698523,161.978630148
2011-01-11T12:00:00Z,2.41,3.406,32.208059237,140.318740763
2011-01-11T13:00:00Z,2.22,2.9,14.6828618095,96.7755381905
2011-01-11T14:00:00Z,2.13,1.764,3.06809878275,38.5755012173
2011-01-11T15:00:00Z,2.28,0.805,0.112551563083,2.09344843692
2011-01-11T16:00:00Z,2.35,0.515,0,0
2011-01-11T17:00:00Z,2.31,0.404,0,0
2011-01-11T18:00:00Z,2.21,0.225,0,0
2011-01-11T19:00:00Z,2.12,-0.079,0,0
2011-01-11T20:00:00Z,2.01,-0.327,0,0
2011-01-11T21:00:00Z,1.95,-0.449,0,0
2011-01-11T22:00:00Z,1.99,-0.566,0,0
2011-01-11T23:00:00Z,2.26,-0.68,0,0
2011-01-12T00:00:00Z,2.74,-0.763,0,0
2011-01-12T01:00:00Z,3.26,-0.753,0,0
2011-01-12T02:00:00Z,3.51,-0.732,0,0
2011-01-12T03:00:00Z,3.71,-0.561,0,0
2011-01-12T04:00:00Z,3.56,-0.5,0,0
2011-01-12T05:00:00Z,3.34,-0.533,0,0
2011-01-12T06:00:00Z,3.28,-0.5,0.0888105868029,1.4117894132
2011-01-12T07:00:00Z,3.35,0.294,7.19299761314,42.8447023869
2011-01-12T08:00:00Z,3.82,1.716,34.5380189697,99.5691810303
2011-01-12T09:00:00Z,3.8,2.91,62.9439157789,135.498284221
2011-01-12T10:00:00Z,4.03,3.794,92.8196039504,151.02469605
2011-01-12T11:00:00Z,4.2,4.254,111.510817684,147.676582316
2011-01-12T12:00:00Z,4.01,4.182,72.1381526967,136.664347303
2011-01-12T13:00:00Z,3.35,3.519,31.2937824182,102.385617582
2011-01-12T14:00:00Z,2.82,1.913,5.57707361692,43.6228263831
2011-01-12T15:00:00Z,2.79,0.559,0.0872240886788,1.85397591132
2011-01-12T16:00:00Z,2.66,0.368,0,0
2011-01-12T17:00:00Z,2.59,0.209,0,0
2011-01-12T18:00:00Z,2.69,-0.057,0,0
2011-01-12T19:00:00Z,2.77,-0.145,0,0
2011-01-12T20:00:00Z,2.76,0.003,0,0
2011-01-12T21:00:00Z,2.8,0.073,0,0
2011-01-12T22:00:00Z,2.91,0.127,0,0
2011-01-12T23:00:00Z,3.08,0.323,0,0
2011-01-13T00:00:00Z,3.28,0.701,0,0
2011-01-13T01:00:00Z,3.41,1.062,0,0
2011-01-13T02:00:00Z,3.51,1.305,0,0
2011-01-13T03:00:00Z,3.64,1.553,0,0
2011-01-13T04:00:00Z,3.7,1.771,0,0
2011-01-13T05:00:00Z,3.85,1.915,0,0
2011-01-13T06:00:00Z,3.94,2.024,0.00540443727069,0.465795562729
2011-01-13T07:00:00Z,4.05,2.411,0.3430454401,18.0188545599
2011-01-13T08:00:00Z,4.12,3.369,2.93400071766,68.1535992823
2011-01-13T09:00:00Z,4.36,4.399,7.54583580758,112.569864192
2011-01-13T10:00:00Z,4.61,5.311,10.5159536314,136.407246369
2011-01-13T11:00:00Z,4.21,5.524,6.3894414033,118.351558597
2011-01-13T12:00:00Z,3.94,5.305,3.54813291214,90.3286670879
2011-01-13T13:00:00Z,3.79,4.938,1.91680320969,60.0061967903
2011-01-13T14:00:00Z,3.7,4.418,0.669844606608,26.0437553934
2011-01-13T15:00:00Z,3.68,3.955,0.0270340981642,1.44056590184
2011-01-13T16:00:00Z,3.66,3.826,0,0
2011-01-13T17:00:00Z,3.69,3.721,0,0
2011-01-13T18:00:00Z,3.76,3.647,0,0
2011-01-13T19:00:00Z,3.83,3.72,0,0
2011-01-13T20:00:00Z,3.97,3.919,0,0
2011-01-13T21:00:00Z,4.29,4.308,0,0
2011-01-13T22:00:00Z,4.61,4.746,0,0
2011-01-13T23:00:00Z,4.8,4.895,0,0
